Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Андрійович,Трохим,Вікторович,Чоловіча,04.06.1944,Маркетолог,хутір Чорноморськ,"узвіз Лінія 50-та, буд. 761 кв. 874, Вашківці, 51178",+380 (96) 942-44-67,boryslav74@example.org
Верхола,Дан,Володимирович,Чоловіча,28.04.1952,Ботанік,село Новоазовськ,"площа Технічний, буд. 462 кв. 556, Березань , 42856",+380 50 942-32-08,bohuslav06@example.com
Жаліло,Валерій,Вікторович,Чоловіча,04.09.1981,Фармацевт,село Луцьк,"провулок Івана Франка, буд. 9, Новояворівськ, 72747",012 382 32 77,iatseniukparmen@example.net
Дурдинець,Артем,Володимирович,Чоловіча,15.05.1993,Реставратор,хутір Первомайськ,"площа 11-та ст. Великого Фонтану пляж, буд. 63, Одеса, 59030",+380 14 947-45-96,sdubyna@example.net
Єрошенко,Богданна,Вікторівна,Жіноча,09.09.1985,Економіст,селище Андрушівка,"сквер Жолкова Бориса, буд. 102 кв. 414, Боково-Хрустальне, 69784",+380 (37) 440-18-63,alberttkachenko@example.com
Демиденко,Клавдія,Миколаївна,Жіноча,10.05.2004,Піаніст,місто Ічня,"площа Газовий, буд. 5 кв. 3, Запоріжжя, 37406",065 837-44-28,iaroslavaakulenko@example.net
Тесленко,Альбіна,Миколаївна,Жіноча,05.02.2005,Льотчик,селище Первомайський ,"проспект Косовський, буд. 504 кв. 228, Чернівці, 56714",+380 45 964-44-94,nmykhailiuk@example.org
Тесленко,Надія,Сергіївна,Жіноча,20.03.2001,Астроном,селище Ямпіль,"вулиця Ушакова, буд. 8, Баштанка, 99145",012 911 28 53,lbaran@example.org
Свистун,Тимофій,Миколайович,Чоловіча,13.06.1997,Промисловець,селище Бурштин ,"вулиця Гагарінське плато, буд. 16, Тлумач, 34570",563 56 03,kyrylo37@example.org
Панчук,Еріка,Володимирівна,Жіноча,08.09.2008,Вчитель,хутір Вознесенськ,"проспект Аркадійська, буд. 9 кв. 27, Володимир-Волинський, 69420",+380 94 050 70 68,milenashvachka@example.com
Їжакевич,Надія,Миколаївна,Жіноча,25.06.1988,Геофізик,селище Чугуїв,"проспект Колонтаївська, буд. 41 кв. 33, Красноград, 20536",646 36 91,jfranchuk@example.net
Джунь,Устим,Миколайович,Чоловіча,19.09.1970,Геолог,селище Очаків,"парк Достоєвського, буд. 9, Маріуполь, 97167",+380 41 693 19 66,demyd12@example.org
Зінчук,Андрій,Миколайович,Чоловіча,06.08.1963,Архітектор,селище Тетіїв,"набережна Керченський 2-й, буд. 7 кв. 343, Самбір, 28241",056 520 06 59,kyrylo08@example.org
Примаченко,Ганна,Вікторівна,Жіноча,08.07.1940,Історик,хутір Тараща,"проспект Східний 1-й, буд. 382 кв. 0, Радивилів, 23050",+380 23 141-11-75,iosypvelychko@example.org
Гайденко,Ілля,Миколайович,Чоловіча,24.03.1996,Агроном,село Чортків,"проспект 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 2 кв. 6, Чернігів, 49552",065 830-46-95,riabovilruslan@example.org
Оберемко,Роман,Олександрович,Чоловіча,03.11.1982,Гінеколог,селище Кагарлик,"проспект Рівності 1-й, буд. 23 кв. 299, Залізне, 60043",+380 (06) 998-77-21,demyd07@example.org
Яценюк,Еріка,Сергіївна,Жіноча,11.11.1958,Доцент,хутір Бровари,"вулиця Асташкіна, буд. 77, Новоазовськ, 39701",+380 62 118-73-02,mariana18@example.net
Тичина,Дарина,Михайлівна,Жіноча,18.02.1967,Ветеринар,місто Авдіївка,"площа ПшеничнаРадищева, буд. 1 кв. 451, Тальне, 45906",+380 (57) 236-13-41,boryslavmishchenko@example.com
Яремків,Ярина,Олександрівна,Жіноча,16.12.1949,Бізнесмен,селище Ізяслав,"вулиця Набережна, буд. 45, Вільногірськ, 50054",039 46 23,xkhomenko@example.net
Онуфрієнко,Марія,Василівна,Жіноча,12.09.1959,Петрограф,селище Кропивницький,"шосе Сталепрокатна, буд. 192 кв. 468, Балта, 60495",959 01 78,jfomenko@example.com
Бандурка,Дмитро,Олександрович,Чоловіча,07.05.1955,Фольклорист,хутір Василівка ,"парк Шишкіна 2-й, буд. 342, Боярка, 92948",014 326 39 22,maksym10@example.org
Охріменко,Орест,Миколайович,Чоловіча,28.09.1953,Кінорежисер,селище Монастирище,"сквер Офіцерський 1-й, буд. 146 кв. 86, Старий Самбір, 23167",+380 36 386-01-94,heorhiisahal@example.com
Іщенко,Леонтій,Вікторович,Чоловіча,29.02.1956,Антрополог,село Карлівка,"шосе Скляний 2-й, буд. 72 кв. 03, Луцьк, 64949",+380 68 765-39-57,rubetspavlo@example.com
Талан,Леопольд,Володимирович,Чоловіча,04.06.1943,Водій,хутір Мерефа,"парк Академіка Векслера, буд. 2 кв. 869, Канів, 60317",833-46-68,roman72@example.net
Стельмах,Демʼян,Володимирович,Чоловіча,03.11.1981,Інженер,місто Слов'янськ,"проспект Кренкеля, буд. 397 кв. 93, Барвінкове, 99614",+380 02 223-99-46,dan35@example.net
Чумаченко,Юхим,Михайлович,Чоловіча,18.03.1960,Геолог,місто Сніжне,"парк Аеропортівська, буд. 586 кв. 943, Вугледар, 85324",+380 89 233-12-53,avreliihrytsenko@example.org
Забашта,Еріка,Володимирівна,Жіноча,28.01.1983,Ріелтор,місто Довжанськ,"узвіз Газовий, буд. 850 кв. 3, Бахмач, 91316",+380 26 603-98-40,perepelytsiakhoma@example.org
Артюшенко,Варфоломій,Васильович,Чоловіча,19.07.1985,Електромонтер,селище Дрогобич,"провулок Достоєвського, буд. 9 кв. 0, Географія Вільнянська, 78650",+380 (13) 872-49-88,olehsemenchenko@example.net
Лазаренко,Ярема,Володимирович,Чоловіча,09.08.1985,Мірошник,селище Богодухів,"площа Посівна, буд. 0, Калуш, 57301",713-52-22,ymedvedenko@example.net
Закусило,Ліза,Олександрівна,Жіноча,21.08.1954,Піаніст,місто Пологи ,"набережна Компасний, буд. 76 кв. 1, Хотин, 17187",062-50-35,hfranko@example.org
Макогон,Онисим,Олександрович,Чоловіча,21.08.1944,Паралегал,село Сквира,"вулиця Ромашкова, буд. 84 кв. 54, Шостка, 10541",010 239-61-75,haidaburaamaliia@example.com
Скоробогатько,Златослава,Іванівна,Жіноча,16.07.1938,Письменник,селище Куп'янськ,"парк Пассіонарії, буд. 715, Васильків, 89891",+380 (54) 051-31-10,valentynatereshchenko@example.com
Швайка,Мартин,Володимирович,Чоловіча,07.04.1985,Пекар,село Костянтинівка,"проспект Штурманська, буд. 6 кв. 29, Арциз, 37565",299 23 92,teodor29@example.org
Зінченко,Зорян,Васильович,Чоловіча,08.05.1949,Круп'є,селище Ладижин,"парк Разумовська, буд. 71, Новодружеськ, 63108",+380 51 717-23-95,vprytula@example.com
Аронець,Аврелій,Михайлович,Чоловіча,25.08.1944,Фотограф,село Семенівка,"проспект Олександра Кутузакія, буд. 4, Гірське, 03964",013 532 16 58,ppushkar@example.com
Фесенко,Ольга,Василівна,Жіноча,15.03.1962,Водій,селище Очаків,"провулок Левітана, буд. 43 кв. 830, Зіньків, 65736",+380 (32) 890-05-13,evovk@example.org
Шведченко,Ольга,Іванівна,Жіноча,16.02.2001,Підприємець,хутір Кам'янка-Дніпровська,"шосе Львівська, буд. 529, Голубівка, 49269",095 527-91-85,wchuiko@example.org
Сірченко,Ліза,Миколаївна,Жіноча,14.10.1992,Будник,село Здолбунів,"набережна Скляна, буд. 7 кв. 5, Ірміно, 59221",105-36-99,ievhen90@example.net
Стус,Варвара,Вікторівна,Жіноча,23.04.1994,Доцент,хутір Яготин,"набережна Венгера, буд. 9 кв. 526, Славутич, 66061",+380 34 454-23-46,ftsushko@example.net
